Timestamp,Gas Meter Temperature_x,Line Pressure_x,Position_x,Tubing Pressure_x,Reservoir Pressure_x,Gas Meter Flow Rate_x,Gas Meter Temperature_y,Line Pressure_y,Position_y,Tubing Pressure_y,Reservoir Pressure_y,Gas Meter Flow Rate_y,Junction pressure
1679769420000.0,98.02,527.06,54.16,733.78,1233.9773601686704,16260.9,90.4,521.95,46.23,835.08,1719.6742885349397,15223.68,494.2386093132751
1679770020000.0,98.16,528.75,54.02,732.94,1233.9773601686704,16132.45,90.47,522.19,45.44,834.61,1719.6742885349397,15195.81,495.4084909484579
1679770620000.0,98.1,527.91,54.16,730.69,1233.9773601686704,16203.42,90.32,523.24,45.68,836.02,1719.6742885349397,15296.72,495.2225474120245
1679771220000.0,98.11,526.5,52.49,732.94,1233.9773601686704,16142.2,90.38,522.07,45.61,835.66,1719.6742885349397,15244.48,494.23285117933875
1679771820000.0,98.18,525.94,53.8,731.81,1233.9773601686704,16107.08,90.45,522.42,46.29,834.14,1719.6742885349397,15224.02,494.25619024352267
1679772420000.0,98.27,528.75,52.67,735.75,1233.9773601686704,16339.74,90.57,522.77,46.09,835.43,1719.6742885349397,15257.37,495.18053418849496
1679773020000.0,98.24,526.78,52.13,733.5,1233.9773601686704,16158.5,90.46,521.48,45.41,836.02,1719.6742885349397,15278.87,493.97226925743746
1679773620000.0,98.24,527.34,54.15,733.5,1233.9773601686704,16194.81,90.43,521.72,45.64,834.73,1719.6742885349397,15243.07,494.3397660773196
1679774220000.0,98.24,526.78,52.18,734.34,1233.9773601686704,16229.83,90.45,520.9,45.46,834.61,1719.6742885349397,15245.63,493.6135302497208
1679774820000.0,98.26,528.19,52.81,734.06,1233.9773601686704,16223.27,90.39,521.6,45.8,836.02,1719.6742885349397,15233.92,494.62102967826235
1679775420000.0,98.24,526.5,54.2,735.75,1233.9773601686704,16236.28,90.49,521.37,45.88,835.55,1719.6742885349397,15282.04,493.63809803749496
1679776020000.0,98.23,526.5,52.41,735.19,1233.9773601686704,16189.05,90.48,521.72,45.47,835.31,1719.6742885349397,15218.01,494.0227352188231
1679776620000.0,98.23,527.06,53.41,731.81,1233.9773601686704,16209.51,90.55,522.19,45.41,835.9,1719.6742885349397,15281.51,494.343868491185
1679777220000.0,98.19,528.19,52.36,730.13,1233.9773601686704,16241.85,90.46,521.84,46.09,835.66,1719.6742885349397,15198.58,494.77221424839627
1679777820000.0,98.21,526.78,52.32,731.53,1233.9773601686704,16138.38,90.43,522.54,46.2,834.49,1719.6742885349397,15249.74,494.58597885772974
1679778420000.0,98.2,528.75,53.26,731.25,1233.9773601686704,16288.09,90.46,521.72,45.36,836.02,1719.6742885349397,15266.32,494.741661840363
1679779020000.0,98.13,527.63,54.02,730.13,1233.9773601686704,16255.08,90.47,521.13,45.53,835.2,1719.6742885349397,15223.15,494.0994293183646
1679779620000.0,98.17,528.19,53.82,730.13,1233.9773601686704,16276.79,90.44,522.19,45.63,835.08,1719.6742885349397,15133.94,495.00247772755404
1679780220000.0,98.03,528.19,53.29,731.53,1233.9773601686704,16171.52,90.37,521.95,45.52,835.55,1719.6742885349397,15244.83,494.872879754354
1679780820000.0,98.0,527.06,53.68,727.03,1233.9773601686704,16247.42,90.36,521.37,45.35,834.73,1719.6742885349397,15209.01,494.0067909220731
1679781420000.0,97.95,527.63,52.18,731.81,1233.9773601686704,16277.8,90.3,523.01,45.74,836.13,1719.6742885349397,15277.08,494.8791106139065
1679782020000.0,97.99,528.47,53.68,734.63,1233.9773601686704,16231.72,90.34,521.84,45.51,834.49,1719.6742885349397,15207.21,494.8990719157918
1679782620000.0,97.96,529.59,52.26,735.75,1233.9773601686704,16207.62,90.37,522.89,45.87,836.72,1719.6742885349397,15273.0,495.83653455495306
1679783220000.0,97.91,527.63,52.99,731.53,1233.9773601686704,16328.17,90.31,521.95,45.97,835.66,1719.6742885349397,15249.96,494.313733238833
1679783820000.0,97.91,528.19,52.67,725.63,1233.9773601686704,16229.15,90.24,521.25,45.65,835.2,1719.6742885349397,15190.15,494.51920948052174
1679784420000.0,97.9,528.19,52.69,731.53,1233.9773601686704,16332.94,90.29,522.54,46.03,836.72,1719.6742885349397,15267.09,494.8121162025249
1679785020000.0,97.86,528.19,52.16,732.38,1233.9773601686704,16391.37,90.24,521.37,46.21,834.84,1719.6742885349397,15229.6,494.19232124651575
1679785620000.0,97.84,528.47,54.2,730.69,1233.9773601686704,16271.36,90.36,523.24,45.36,835.66,1719.6742885349397,15250.48,495.4322110795285
1679786220000.0,97.78,527.91,52.21,729.0,1233.9773601686704,16268.8,90.27,523.71,45.54,836.02,1719.6742885349397,15281.7,495.3555803100223
1679786820000.0,97.78,528.19,54.21,731.53,1233.9773601686704,16256.45,90.23,522.77,46.11,836.84,1719.6742885349397,15245.16,495.1146404140822
1679787420000.0,97.74,527.91,54.2,732.09,1233.9773601686704,16300.61,90.29,522.66,45.44,834.61,1719.6742885349397,15269.08,494.8045527424073
1679788020000.0,97.72,528.19,53.51,733.5,1233.9773601686704,16273.33,90.3,523.01,45.57,835.78,1719.6742885349397,15208.03,495.2716966021348
1679788620000.0,97.73,528.75,53.97,730.97,1233.9773601686704,16194.43,90.2,522.77,45.54,836.13,1719.6742885349397,15229.91,495.5124128214347
1679789220000.0,97.71,528.47,54.2,730.69,1232.929223464747,16282.26,90.25,522.54,45.84,836.25,1717.5539752262766,15256.16,495.05527513048725
1679789820000.0,97.73,527.63,52.75,730.97,1232.929223464747,16270.58,90.31,521.72,46.24,834.02,1717.5539752262766,15257.13,494.29694298712053
1679790420000.0,97.7,527.63,52.38,732.38,1232.929223464747,16325.18,90.19,521.95,46.17,835.2,1717.5539752262766,15295.7,494.23148809670965
1679791020000.0,97.67,529.03,52.29,731.81,1232.929223464747,16324.88,90.19,521.84,45.95,836.95,1717.5539752262766,15240.42,494.9037654134355
1679791620000.0,97.69,528.19,53.51,732.38,1232.929223464747,16310.69,90.16,522.89,45.48,835.31,1717.5539752262766,15284.03,494.9946406636458
1679792220000.0,97.71,528.75,53.89,730.69,1232.929223464747,16294.63,90.33,522.19,45.37,834.14,1717.5539752262766,15240.92,495.0115993841492
1679792820000.0,97.66,528.47,52.58,730.69,1232.929223464747,16390.12,90.24,522.19,46.3,835.08,1717.5539752262766,15251.31,494.6838549034285
1679793420000.0,97.66,527.63,52.85,730.13,1232.929223464747,16285.08,90.2,521.95,45.6,836.37,1717.5539752262766,15272.51,494.3531513999743
1679794020000.0,97.65,529.31,52.71,730.13,1232.929223464747,16300.46,90.19,522.77,46.26,835.66,1717.5539752262766,15200.76,495.6133122739591
1679794620000.0,97.64,529.31,53.97,731.25,1232.929223464747,16216.08,90.29,522.19,45.76,834.96,1717.5539752262766,15239.26,495.4128232536702
1679795220000.0,97.64,528.75,53.61,728.16,1232.929223464747,16356.02,90.21,523.24,46.27,836.13,1717.5539752262766,15207.67,495.4769104353953
1679795820000.0,97.64,529.03,52.29,728.72,1232.929223464747,16249.7,90.16,522.77,46.19,836.25,1717.5539752262766,15263.7,495.4659341955675
1679796420000.0,97.58,528.19,53.52,733.5,1232.929223464747,16222.33,90.31,522.19,45.85,835.78,1717.5539752262766,15195.56,494.9887770165823
1679797020000.0,97.62,529.59,52.43,728.72,1232.929223464747,16276.55,90.15,522.42,45.74,835.78,1717.5539752262766,15235.22,495.5425134407661
1679797620000.0,97.63,528.19,54.11,731.25,1232.929223464747,16240.69,90.12,522.3,45.64,835.9,1717.5539752262766,15291.55,494.8239726805113
1679798220000.0,97.61,527.34,53.96,729.28,1232.929223464747,16316.55,90.14,522.66,45.37,835.66,1717.5539752262766,15213.93,494.6246219364576
1679798820000.0,97.69,527.06,52.32,733.78,1232.929223464747,16346.5,90.13,522.07,45.59,836.48,1717.5539752262766,15265.66,494.0526869743243
1679799420000.0,97.61,526.78,52.2,730.13,1232.929223464747,16357.9,90.22,522.66,46.25,834.84,1717.5539752262766,15187.35,494.3444167751849
1679800020000.0,97.56,524.25,53.32,726.75,1232.929223464747,16328.45,90.18,522.66,46.06,835.66,1717.5539752262766,15276.67,493.0758102382215
1679800620000.0,97.62,527.63,52.36,729.56,1232.929223464747,16259.12,90.18,523.01,46.29,836.02,1717.5539752262766,15228.46,495.0085256060074
1679801220000.0,97.65,531.84,52.62,728.72,1232.929223464747,16349.39,90.22,523.13,46.15,834.73,1717.5539752262766,15233.32,496.7462432056322
